AlbumId,AlbumTitle,IsCurrent,StartDate,EndDate
187,Out Of Time,1,,
188,Green,1,,
189,New Adventures In Hi-Fi,1,,
190,The Best Of R.E.M.: The IRS Years,1,,
191,Cesta Básica,1,,
192,Raul Seixas,1,,
193,Blood Sugar Sex Magik,1,,
194,By The Way,1,,
195,Californication,1,,
196,Retrospective I (1974-1980),1,,
197,Santana - As Years Go By,1,,
198,Santana Live,1,,
199,Maquinarama,1,,
200,O Samba Poconé,1,,
201,Judas 0: B-Sides and Rarities,1,,
202,Rotten Apples: Greatest Hits,1,,
203,A-Sides,1,,
204,Morning Dance,1,,
205,In Step,1,,
206,Core,1,,
207,Mezmerize,1,,
208,[1997] Black Light Syndrome,1,,
209,Live [Disc 1],1,,
210,Live [Disc 2],1,,
211,The Singles,1,,
212,Beyond Good And Evil,1,,
213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",1,,
214,The Doors,1,,
215,The Police Greatest Hits,1,,
216,"Hot Rocks, 1964-1971 (Disc 1)",1,,
217,No Security,1,,
218,Voodoo Lounge,1,,
219,Tangents,1,,
220,Transmission,1,,
221,My Generation - The Very Best Of The Who,1,,
222,Serie Sem Limite (Disc 1),1,,
223,Serie Sem Limite (Disc 2),1,,
224,Acústico,1,,
225,Volume Dois,1,,
226,Battlestar Galactica: The Story So Far,1,,
227,"Battlestar Galactica, Season 3",1,,
228,"Heroes, Season 1",1,,
229,"Lost, Season 3",1,,
230,"Lost, Season 1",1,,
231,"Lost, Season 2",1,,
232,Achtung Baby,1,,
233,All That You Can't Leave Behind,1,,
234,B-Sides 1980-1990,1,,
235,How To Dismantle An Atomic Bomb,1,,
236,Pop,1,,
237,Rattle And Hum,1,,
238,The Best Of 1980-1990,1,,
239,War,1,,
240,Zooropa,1,,
241,UB40 The Best Of - Volume Two [UK],1,,
242,Diver Down,1,,
243,"The Best Of Van Halen, Vol. I",1,,
244,Van Halen,1,,
245,Van Halen III,1,,
246,Contraband,1,,
247,Vinicius De Moraes,1,,
248,Ao Vivo [IMPORT],1,,
249,"The Office, Season 1",1,,
250,"The Office, Season 2",1,,
251,"The Office, Season 3",1,,
252,Un-Led-Ed,1,,
253,"Battlestar Galactica (Classic), Season 1",1,,
254,Aquaman,1,,
255,Instant Karma: The Amnesty International Campaign to Save Darfur,1,,
256,Speak of the Devil,1,,
257,20th Century Masters - The Millennium Collection: The Best of Scorpions,1,,
258,House of Pain,1,,
259,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,1,,
260,Cake: B-Sides and Rarities,1,,
261,"LOST, Season 4",1,,
262,Quiet Songs,1,,
263,Muso Ko,1,,
264,Realize,1,,
265,Every Kind of Light,1,,
266,Duos II,1,,
267,Worlds,1,,
268,The Best of Beethoven,1,,
269,Temple of the Dog,1,,
270,Carry On,1,,
271,Revelations,1,,
272,Adorate Deum: Gregorian Chant from the Proper of the Mass,1,,
273,Allegri: Miserere,1,,
274,Pachelbel: Canon & Gigue,1,,
275,Vivaldi: The Four Seasons,1,,
276,Bach: Violin Concertos,1,,
277,Bach: Goldberg Variations,1,,
278,Bach: The Cello Suites,1,,
279,Handel: The Messiah (Highlights),1,,
280,The World of Classical Favourites,1,,
281,Sir Neville Marriner: A Celebration,1,,
282,Mozart: Wind Concertos,1,,
283,Haydn: Symphonies 99 - 104,1,,
284,Beethoven: Symhonies Nos. 5 & 6,1,,
285,A Soprano Inspired,1,,
286,Great Opera Choruses,1,,
287,Wagner: Favourite Overtures,1,,
288,"Fauré: Requiem, Ravel: Pavane & Others",1,,
289,Tchaikovsky: The Nutcracker,1,,
290,The Last Night of the Proms,1,,
291,Puccini: Madama Butterfly - Highlights,1,,
292,"Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies",1,,
293,Pavarotti's Opera Made Easy,1,,
294,Great Performances - Barber's Adagio and Other Romantic Favorites for Strings,1,,
295,Carmina Burana,1,,
296,"A Copland Celebration, Vol. I",1,,
297,Bach: Toccata & Fugue in D Minor,1,,
298,Prokofiev: Symphony No.1,1,,
299,Scheherazade,1,,
300,Bach: The Brandenburg Concertos,1,,
301,Chopin: Piano Concertos Nos. 1 & 2,1,,
302,Mascagni: Cavalleria Rusticana,1,,
303,Sibelius: Finlandia,1,,
304,Beethoven Piano Sonatas: Moonlight & Pastorale,1,,
305,Great Recordings of the Century - Mahler: Das Lied von der Erde,1,,
306,Elgar: Cello Concerto & Vaughan Williams: Fantasias,1,,
307,"Adams, John: The Chairman Dances",1,,
308,"Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory",1,,
309,Palestrina: Missa Papae Marcelli & Allegri: Miserere,1,,
310,Prokofiev: Romeo & Juliet,1,,
311,Strauss: Waltzes,1,,
312,Berlioz: Symphonie Fantastique,1,,
313,Bizet: Carmen Highlights,1,,
314,English Renaissance,1,,
315,Handel: Music for the Royal Fireworks (Original Version 1749),1,,
316,Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande,1,,
317,Mozart Gala: Famous Arias,1,,
318,SCRIABIN: Vers la flamme,1,,
319,Armada: Music from the Courts of England and Spain,1,,
320,Mozart: Symphonies Nos. 40 & 41,1,,
321,Back to Black,1,,
322,Frank,1,,
323,Carried to Dust (Bonus Track Version),1,,
324,Beethoven: Symphony No. 6 'Pastoral' Etc.,1,,
325,Bartok: Violin & Viola Concertos,1,,
326,Mendelssohn: A Midsummer Night's Dream,1,,
327,Bach: Orchestral Suites Nos. 1 - 4,1,,
328,"Charpentier: Divertissements, Airs & Concerts",1,,
329,South American Getaway,1,,
330,Górecki: Symphony No. 3,1,,
331,Purcell: The Fairy Queen,1,,
332,The Ultimate Relexation Album,1,,
333,Purcell: Music for the Queen Mary,1,,
334,Weill: The Seven Deadly Sins,1,,
335,"J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro",1,,
336,Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps,1,,
337,"Szymanowski: Piano Works, Vol. 1",1,,
338,Nielsen: The Six Symphonies,1,,
339,Great Recordings of the Century: Paganini's 24 Caprices,1,,
340,Liszt - 12 Études D'Execution Transcendante,1,,
341,"Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder",1,,
342,"Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3",1,,
343,Respighi:Pines of Rome,1,,
344,Schubert: The Late String Quartets & String Quintet (3 CD's),1,,
345,Monteverdi: L'Orfeo,1,,
346,Mozart: Chamber Music,1,,
347,Koyaanisqatsi (Soundtrack from the Motion Picture),1,,
